cq_score,condition
5.609111521342947,control
6.957707451116058,control
2.516131819020905,control
6.26289403470659,control
5.20266598182004,control
9.802483103430385,control
6.706561117049486,control
6.688486899044707,control
10.076102842699946,control
8.57059772344875,control
4.473738171372088,control
6.360858338661549,control
5.452304272557394,control
5.2461804334496165,control
6.839088855756939,control
5.718660793194709,control
7.156722853649126,control
4.367836171268206,control
7.154601814004229,control
4.484483806761706,control
6.752552829858435,control
9.059572638849723,control
6.323325974255006,control
6.417321760728706,control
8.14786846870469,control
10.824057383892715,control
10.255786583270073,control
6.133399626953506,control
11.955259141167183,control
9.892719323065865,control
5.615135468291236,control
3.951741538637145,control
4.393104422363111,control
4.230330005788006,control
3.0857556019220453,control
4.344392568320435,control
3.815297630222585,control
9.933587238266583,control
7.2809362314079,control
6.302272161102875,control
6.153378286890845,control
8.694955932133947,control
4.974192923925851,control
7.150426635106976,control
9.818615944264138,control
10.532946793575313,control
8.425425440982538,control
8.142110269456857,control
9.504020705584361,control
8.350767157562792,control
2.4502155010037976,control
9.014676028412996,control
5.600972219174547,control
4.079596769924997,control
9.941784632165032,control
4.406518893761565,control
7.47898059172805,control
4.018757066553299,control
7.436429621260068,control
10.229575011866574,control
4.555988096933983,control
5.67977628251988,control
3.6403485517802467,control
2.8204958984225383,control
4.4349063828473705,control
8.942132756229476,control
8.858012580494774,control
4.916723159595016,control
6.527585216397706,control
7.571286642483711,control
3.6559091472116183,control
6.219475730161469,control
5.250432390748647,control
4.7511692855739245,control
3.6014480566922416,control
8.734601277200257,control
6.201305289281603,control
5.781123295500175,control
8.427856422684473,control
9.698960915589566,control
7.710253936151436,control
8.933324521643572,control
5.808908335095537,control
8.397452981583594,control
5.67493497687653,control
4.13754738982621,control
5.435564390679242,control
3.946922365266015,control
4.888302333349834,control
7.848209944674344,control
4.883080689513152,control
4.0132862295876315,control
3.1962668713058893,control
7.98600794312808,control
5.32429737986326,control
3.642049470586631,control
4.653944107604163,control
6.739330981813868,control
5.02551250954902,control
6.829443615432239,control
4.149156978380322,control
5.3110803021351884,control
5.087605047770301,control
8.308069480139405,control
3.3214620273827675,control
4.334127179203459,control
6.8394742623125095,control
6.7825606340131355,control
5.646181649706894,control
5.4710772243641745,control
6.0983507736353815,control
5.056847244209068,control
3.7421832792566416,control
7.219077750872394,control
8.08577478229051,control
8.305374623944774,control
13.000544553636367,control
11.378548288861845,control
8.22860285804829,control
9.234736020735895,control
5.099144135657389,control
8.315009985095347,control
6.490820551448604,control
8.210329728237308,control
8.890379425316501,control
8.195274767175242,control
10.43178955531995,control
11.62915361144477,control
8.254892861225875,control
5.529738948309717,control
6.517773094332899,control
7.2412759923128736,control
13.059353130107436,control
12.939480089118508,control
11.647298253196247,control
7.336043553010052,control
8.52685623832397,control
8.259645043314887,control
7.388108767419583,control
9.221269584261965,control
11.650654949039183,control
