nonredun_score,condition
4,control
1,control
3,control
3,control
2,control
5,control
3,control
1,control
2,control
3,control
3,control
3,control
3,control
1,control
3,control
1,control
3,control
2,control
2,control
3,control
4,control
3,control
2,control
3,control
1,control
3,control
3,control
2,control
4,control
2,control
3,control
1,control
3,control
3,control
3,control
4,control
2,control
2,control
0,control
1,control
2,control
0,control
2,control
2,control
1,control
3,control
2,control
4,control
3,control
3,control
4,control
2,control
3,control
1,control
3,control
2,control
1,control
3,control
2,control
1,control
2,control
4,control
4,control
3,control
2,control
1,control
4,control
3,control
2,control
4,control
2,control
3,control
1,control
3,control
3,control
3,control
4,control
4,control
1,control
3,control
3,control
4,control
4,control
4,control
2,control
1,control
2,control
1,control
2,control
2,control
2,control
1,control
0,control
4,control
1,control
3,control
4,control
1,control
2,control
3,control
2,control
3,control
1,control
2,control
0,control
1,control
2,control
3,control
3,control
1,control
2,control
3,control
1,control
4,control
3,control
3,control
4,control
3,control
1,control
2,control
3,control
3,control
3,control
2,control
2,control
4,control
3,control
3,control
2,control
1,control
2,control
3,control
4,control
2,control
2,control
3,control
4,control
4,control
4,control
2,control
5,control
0,control
3,control
4,control
2,control
4,control
2,control
1,control
3,control
2,control
2,control
1,control
2,control
4,control
1,control
3,control
4,control
1,control
3,control
4,control
4,control
4,control
3,control
2,control
4,control
3,control
3,control
4,control
2,control
3,control
2,control
2,control
1,control
1,control
1,control
3,control
3,control
2,control
2,control
2,control
3,control
3,control
3,control
3,control
4,control
0,control
1,control
2,control
1,control
0,control
0,control
1,control
1,control
2,control
2,control
4,control
3,control
2,control
2,control
3,control
1,control
4,control
4,control
4,control
2,control
2,control
1,control
4,control
3,control
3,control
6,control
6,control
4,control
5,control
1,control
1,control
3,control
2,control
2,control
2,control
2,control
1,control
3,control
1,control
1,control
5,control
3,control
4,control
5,control
4,control
4,control
2,control
2,control
2,control
3,control
6,control
4,control
2,control
3,control
2,control
4,control
2,control
4,control
3,control
0,control
2,control
3,control
2,control
2,control
4,control
2,control
4,control
2,control
4,control
2,control
5,control
1,control
0,control
4,control
2,control
4,control
3,control
1,control
4,control
1,control
2,control
3,control
2,control
4,control
2,control
1,control
3,control
2,control
2,control
3,control
3,control
3,control
2,control
2,control
1,control
3,control
3,control
2,control
3,control
4,control
3,control
3,control
3,control
5,control
1,control
2,control
3,control
4,control
2,control
2,control
4,control
3,control
2,control
2,control
4,control
3,control
1,control
1,control
1,control
2,control
4,control
4,control
4,control
6,control
4,control
4,control
3,control
2,control
3,control
3,control
5,control
2,control
2,control
4,control
5,control
5,control
2,control
3,control
4,control
4,control
1,control
1,control
3,control
3,control
1,control
3,control
3,control
1,control
3,control
5,control
3,control
1,control
2,control
2,control
0,control
3,control
5,control
4,control
5,control
1,control
0,control
2,control
2,control
0,control
0,control
3,control
2,control
3,control
2,control
1,control
4,control
1,control
2,control
3,control
4,control
3,real
2,real
3,real
2,real
1,real
5,real
4,real
2,real
3,real
2,real
4,real
2,real
2,real
3,real
3,real
1,real
2,real
1,real
3,real
3,real
0,real
3,real
1,real
4,real
1,real
1,real
2,real
1,real
2,real
2,real
3,real
3,real
4,real
4,real
4,real
6,real
4,real
4,real
5,real
3,real
4,real
2,real
5,real
4,real
3,real
0,real
3,real
0,real
2,real
0,real
1,real
1,real
2,real
0,real
1,real
4,real
3,real
1,real
2,real
2,real
5,real
5,real
2,real
3,real
4,real
4,real
3,real
2,real
2,real
2,real
1,real
3,real
1,real
2,real
4,real
3,real
3,real
3,real
2,real
2,real
3,real
0,real
0,real
2,real
1,real
1,real
2,real
3,real
2,real
0,real
0,real
0,real
3,real
1,real
0,real
2,real
2,real
1,real
2,real
1,real
3,real
6,real
2,real
5,real
2,real
0,real
1,real
1,real
3,real
2,real
4,real
3,real
3,real
3,real
4,real
4,real
6,real
1,real
3,real
3,real
5,real
4,real
2,real
4,real
1,real
3,real
2,real
1,real
2,real
4,real
1,real
2,real
3,real
4,real
3,real
1,real
3,real
1,real
3,real
2,real
0,real
5,real
3,real
3,real
2,real
4,real
3,real
0,real
3,real
2,real
2,real
3,real
1,real
2,real
3,real
5,real
3,real
3,real
4,real
3,real
2,real
1,real
1,real
2,real
3,real
1,real
1,real
1,real
2,real
5,real
3,real
2,real
4,real
5,real
3,real
1,real
4,real
1,real
2,real
0,real
3,real
5,real
4,real
2,real
3,real
1,real
1,real
2,real
3,real
2,real
2,real
2,real
2,real
6,real
3,real
0,real
3,real
2,real
0,real
2,real
4,real
2,real
3,real
0,real
6,real
4,real
2,real
2,real
2,real
3,real
2,real
3,real
2,real
3,real
2,real
3,real
3,real
3,real
3,real
2,real
3,real
3,real
2,real
2,real
2,real
2,real
0,real
2,real
2,real
3,real
2,real
4,real
2,real
1,real
2,real
4,real
2,real
2,real
3,real
1,real
2,real
1,real
1,real
2,real
3,real
6,real
2,real
0,real
6,real
3,real
1,real
4,real
2,real
4,real
2,real
1,real
2,real
0,real
1,real
1,real
4,real
1,real
3,real
1,real
2,real
1,real
4,real
2,real
3,real
3,real
4,real
5,real
4,real
3,real
5,real
3,real
2,real
3,real
4,real
2,real
4,real
4,real
5,real
4,real
5,real
1,real
3,real
0,real
3,real
3,real
3,real
4,real
1,real
5,real
1,real
2,real
1,real
2,real
4,real
3,real
2,real
2,real
2,real
3,real
1,real
4,real
3,real
4,real
5,real
5,real
3,real
3,real
1,real
2,real
4,real
1,real
4,real
4,real
2,real
3,real
4,real
1,real
1,real
3,real
2,real
2,real
2,real
3,real
3,real
2,real
2,real
3,real
2,real
4,real
4,real
2,real
4,real
3,real
5,real
4,real
2,real
1,real
3,real
3,real
4,real
2,real
3,real
1,real
4,real
2,real
5,real
5,real
3,real
3,real
3,real
0,real
2,real
0,real
0,real
0,real
3,reverse
3,reverse
3,reverse
6,reverse
1,reverse
2,reverse
3,reverse
2,reverse
3,reverse
2,reverse
4,reverse
2,reverse
2,reverse
4,reverse
4,reverse
1,reverse
1,reverse
2,reverse
3,reverse
1,reverse
1,reverse
2,reverse
2,reverse
4,reverse
1,reverse
4,reverse
3,reverse
6,reverse
4,reverse
5,reverse
5,reverse
1,reverse
3,reverse
3,reverse
2,reverse
4,reverse
4,reverse
4,reverse
4,reverse
3,reverse
1,reverse
3,reverse
3,reverse
1,reverse
3,reverse
2,reverse
0,reverse
3,reverse
3,reverse
1,reverse
4,reverse
4,reverse
2,reverse
1,reverse
3,reverse
3,reverse
0,reverse
2,reverse
3,reverse
2,reverse
0,reverse
2,reverse
3,reverse
2,reverse
1,reverse
4,reverse
4,reverse
2,reverse
4,reverse
3,reverse
2,reverse
